n,f,starting_nodes,message_complexity,broadcasts,latency,network_connectivity
25,1,1,10615,1,5.048512935638428,3
25,1,1,10226,1,4.425190210342407,3
25,1,1,10363,1,4.474007606506348,3
22,1,1,7387,1,3.5857598781585693,3
22,1,1,7266,1,3.25675892829895,3
22,1,1,7116,1,3.587017059326172,3
20,1,1,6149,1,3.4941015243530273,3
20,1,1,6259,1,2.8403329849243164,3
20,1,1,6492,1,3.113795518875122,3
17,1,1,4007,1,1.666248083114624,3
17,1,1,4455,1,1.414863348007202,3
17,1,1,4472,1,1.414863348007202,3
14,1,1,2566,1,1.152544021606445,3
14,1,1,2518,1,0.8984739780426025,3
10,1,1,1377,1,0.5365815162658691,3
10,1,1,1389,1,0.423288345336914,3
10,1,1,1298,1,0.3970992565155029,3
8,1,1,825,1,0.2454519271850586,3
8,1,1,824,1,0.2238245010375976,3
7,1,1,498,1,0.1802504062652588,3
7,1,1,460,1,0.1835358142852783,3
7,1,1,483,1,0.195807933807373,3
8,1,1,659,1,0.2077946662902832,3
6,1,1,418,1,0.2038726806640625,3
6,1,1,393,1,0.2308657169342041,3
6,1,1,395,1,0.1338670253753662,3
5,1,1,223,1,0.1629369258880615,3
5,1,1,224,1,0.1238102912902832,3
5,1,1,237,1,0.19684529304504395,3
