n,f,starting_nodes,message_complexity,broadcasts,latency,network_connectivity
25,1,1,9388,1,4.749341249465942,3
20,1,1,5579,1,3.045775890350342,3
17,1,1,4053,1,1.5615668296813965,3
17,1,1,4117,1,1.5955464839935305,3
14,1,1,2341,1,0.9472939968109132,3
14,1,1,2652,1,1.1168184280395508,3
10,1,1,1083,1,0.2939555644989013,3
10,1,1,1369,1,0.4123420715332031,3
10,1,1,1143,1,0.534066915512085,3
8,1,1,672,1,0.2730526924133301,3
8,1,1,664,1,0.2163193225860595,3
8,1,1,768,1,0.2784507274627685,3
7,1,1,462,1,0.202089786529541,3
7,1,1,462,1,0.1754276752471923,3
7,1,1,556,1,0.1799993515014648,3
6,1,1,307,1,0.1309735774993896,3
6,1,1,338,1,0.1915357112884521,3
6,1,1,331,1,0.1900086402893066,3
5,1,1,212,1,0.1694681644439697,3
5,1,1,217,1,0.196817398071289,3
5,1,1,210,1,0.1902809143066406,3
22,1,1,6854,1,2.7119452953338623,3
22,1,1,7573,1,3.223866701126098,3
25,1,1,9626,1,4.269310474395752,3
25,1,1,9430,1,3.5609793663024902,3
22,1,1,7160,1,3.793461322784424,3
17,1,1,4382,1,1.4417481422424316,3
14,1,1,2236,1,0.7794837951660156,3
10,1,1,1318,1,0.3685212135314941,3
10,1,1,1200,1,0.3756661415100097,3
20,1,1,5883,1,2.8891043663024902,3
20,1,1,5781,1,2.4174134731292725,3
